Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2020-10-09,985.56,985.56,985.56,47480698576.0,0.0
2020-10-08,987.2,987.2,987.2,47559971880.0,0.0
2020-10-07,980.23,980.23,980.23,47223894000.0,0.0
2020-10-06,990.37,990.37,990.37,48084197366.0,0.0
2020-10-05,986.82,986.82,986.82,47912090750.0,67277496.0
2020-10-02,984.43,984.43,984.43,47796096933.0,0.0
2020-10-01,981.12,981.12,981.12,47635105880.0,13230601.0
2020-09-30,979.27,979.27,979.27,47545664384.0,0.0
2020-09-29,974.92,974.92,974.92,47156766073.0,36005630.0
2020-09-28,967.01,967.01,967.01,46774239824.0,0.0
2020-09-25,949.03,949.03,949.03,45904593435.0,0.0
2020-09-24,942.21,942.21,942.21,45574739957.0,0.0
2020-09-23,952.87,952.87,952.87,46090193286.0,0.0
2020-09-22,961.83,961.83,961.83,46523595638.0,0.0
2020-09-21,968.82,968.82,968.82,46861908233.0,0.0
